id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
84176,cup,cup,hat,hat,0.78818,0.91783,0.92454,0.90017,0.7754,0.86122,-0.04337
84176,fly swater,fly swater,hat,hat,0.79361,0.95174,0.94731,0.92776,0.80064,0.88421,-0.02075
84176,strainer,strainer,hat,hat,0.8763,0.77858,0.89895,1.00284,0.99302,0.90994,-0.01343
84176,weapon,weapon,sock,sock,0.82373,0.94051,0.85223,1.01228,0.92211,0.91017,-0.02226
84176,strainer,strainer,sock,sock,0.82662,0.74098,0.79323,1.04755,0.88336,0.85835,-0.08773
84176,toliet paper,toliet paper,sock,sock,0.80476,1.11081,0.83071,0.86568,0.90938,0.90427,-0.01169
84176,weapon,weapon,lighter,lighter,0.79047,0.9135,0.83234,1.04955,0.77838,0.87285,-0.06483
84176,weapon,weapon,fork,fork,0.77246,0.88417,0.90561,1.03711,0.95158,0.91019,-0.02609
84176,comb,comb,fork,fork,0.74744,0.827,0.7822,0.95494,0.83424,0.82916,-0.11268
84176,back scratcher,back scratcher,fork,fork,0.98191,1.06999,1.03294,1.0073,1.01734,1.0219,0.1333
84176,nose picker,nose picker,fork,fork,1.02376,1.10844,1.0034,0.96954,0.98486,1.018,0.13722
84176,weapon,weapon,pillow,pillow,0.76682,0.89788,0.91916,1.09848,0.90789,0.91805,-0.02264
84176,dog toy,dog toy,pillow,pillow,0.97725,0.94296,1.00093,0.92989,1.02169,0.97454,0.08893
84176,blanket,blanket,pillow,pillow,0.53016,0.59473,0.66826,0.55409,0.59274,0.588,-0.33617
84176,back scratcher,back scratcher,comb,comb,1.01856,1.03906,1.02119,0.97441,1.0127,1.01318,0.1315
84176,fork,fork,comb,comb,0.74744,0.827,0.7822,0.95494,0.83424,0.82916,-0.11268
84176,fish scaler,fish scaler,comb,comb,0.92107,1.08735,1.02873,1.0428,1.03734,1.02346,0.12135
84176,weapon,weapon,lamp,lamp,0.82154,0.91273,0.88538,1.03357,0.89323,0.90929,-0.02025
84176,door prop,door prop,lamp,lamp,1.08964,1.12443,0.99535,1.04308,1.02108,1.05472,0.16967
84176,coat hanger,coat hanger,lamp,lamp,1.03659,0.9807,0.96648,0.8947,1.0338,0.98245,0.10356
84176,paddle,paddle,belt,belt,0.80319,0.87979,0.94157,0.94013,0.93907,0.90075,-0.01318
84176,knife sharpener,knife sharpener,belt,belt,0.98804,1.05319,1.00837,0.868,0.93324,0.97017,0.10082
84176,weapon,weapon,knife,knife,0.52292,0.63629,0.61982,0.7188,0.55026,0.60962,-0.34154
84176,shaver,shaver,knife,knife,0.81791,0.8654,0.79491,0.88163,0.89453,0.85088,-0.07326
84176,ice pick,ice pick,knife,knife,0.94773,1.08237,1.04136,0.95046,1.09559,1.0235,0.13572
84176,dart,dart,knife,knife,0.80442,0.75965,0.89661,0.95342,0.78307,0.83943,-0.07666
84176,fork,fork,knife,knife,0.52347,0.50566,0.68017,0.74943,0.66998,0.62574,-0.32796
84176,decor,decor,baseball,baseball,0.97928,0.96132,0.96911,1.00859,1.0135,0.98636,0.08664
84176,cork,cork,baseball,baseball,0.90485,1.0065,0.9654,0.99993,0.93089,0.96151,0.05782
84176,heat,heat,candle,candle,0.75275,0.85468,0.874,0.91119,0.85402,0.84933,-0.07318
84176,soap,soap,candle,candle,0.80163,0.86765,0.86462,0.97718,0.76048,0.85431,-0.06747
84176,cavitity filler,cavitity filler,candle,candle,0.87701,0.96863,0.85598,1.09716,0.9095,0.94166,0.00621
84177,time,time,clock,clock,0.64911,0.76953,0.82558,0.81498,0.59082,0.73,-0.18808
84177,bow and arrow,bow arrow,pencil,pencil,1.06512,0.97277,0.9564,1.08233,0.96852,1.00903,0.11069
84177,writing,writing,pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.23518
84177,spread butter,spread butter,knife,knife,0.95385,1.06351,1.03935,0.94291,1.079,1.01572,0.12996
84177,hanger,hanger,knife,knife,0.85393,0.78532,0.84174,0.94582,0.75615,0.83659,-0.07887
84177,comb,comb,fork,fork,0.74744,0.827,0.7822,0.95494,0.83424,0.82916,-0.11268
84177,ball,ball,brick,brick,0.80521,0.83969,0.86556,0.99758,0.8786,0.87733,-0.05266
84177,shelf,shelf,brick,brick,0.8809,0.88758,0.91466,1.03961,0.91234,0.92702,0.00707
84177,pillow,pillow,purse,purse,0.71399,0.81625,0.76125,1.01776,0.7884,0.81953,-0.13564
84177,blanket,blanket,purse,purse,0.73759,0.92779,0.85297,1.02325,0.80931,0.87018,-0.06884
84177,decoration,decoration,purse,purse,0.88578,0.94013,0.88045,0.92038,0.96205,0.91776,0.00721
84177,duster,duster,broom,broom,0.66347,0.72885,0.73273,0.8128,0.80445,0.74846,-0.19223
84177,quidditch,quidditch,broom,broom,0.77761,0.80829,0.84029,NA,0.87999,0.82654,-0.08328
84177,bat,bat,broom,broom,0.82679,0.89835,0.84156,0.98144,0.8106,0.87175,-0.05295
84177,sword,sword,broom,broom,0.7659,0.8445,0.7718,1.0518,0.7414,0.83508,-0.11394
84177,golf club cover,golf club cover,sock,sock,0.96133,1.0356,0.90881,1.01589,0.96806,0.97794,0.06931
84177,purse,purse,sock,sock,0.73091,0.86426,0.76418,0.83825,0.77694,0.79491,-0.13308
84177,snack holder,snack holder,sock,sock,1.05355,1.01206,1.0371,1.06731,0.91166,1.01634,0.13374
84177,purse,purse,hat,hat,0.66334,0.77493,0.81603,0.77643,0.78344,0.76283,-0.15919
84177,decoration,decoration,hat,hat,0.95912,0.86587,0.89681,1.00831,0.8698,0.91998,0.01292
84177,bowl,bowl,hat,hat,0.74582,0.82866,0.87287,0.95981,0.84943,0.85132,-0.07868
84177,weapon,weapon,pillow,pillow,0.76682,0.89788,0.91916,1.09848,0.90789,0.91805,-0.02264
84177,a seat,seat,pillow,pillow,0.68661,0.80825,0.79091,0.9138,0.85733,0.81138,-0.13265
84177,massager,massager,baseball,baseball,0.90028,0.85646,0.95068,NA,1.16094,0.96709,0.05288
84177,decoration,decoration,baseball,baseball,0.98091,1.00387,0.98798,0.99216,1.00481,0.99395,0.10033
84177,ring holder,ring holder,belt,belt,0.98306,1.0274,1.02104,1.06355,1.09135,1.03728,0.13555
84177,blanket wrapper,blanket wrapper,belt,belt,1.01147,0.92884,0.95049,0.98284,1.02486,0.9797,0.08359
84177,light,light,lamp,lamp,0.45035,0.57998,0.5627,0.45727,0.58453,0.52697,-0.40974
84177,light,light,candle,candle,0.48871,0.49663,0.71893,0.54539,0.67086,0.5841,-0.34162
84177,icing spreader,icing spreader,comb,comb,0.98186,1.04956,1.00689,1.00584,0.99123,1.00708,0.11583
84177,hat,hat,bucket,bucket,0.7075,0.87591,0.74689,0.90803,0.67851,0.78337,-0.15424
84177,purse,purse,bucket,bucket,0.73833,0.8995,0.7944,1.05353,0.77389,0.85193,-0.09825
84177,fireworks,fireworks,lighter,lighter,0.79118,0.80113,0.87508,0.91858,0.88297,0.85379,-0.0669
84178,doorstop,doorstop,pencil,pencil,0.76568,0.83008,0.76793,0.96187,0.88363,0.84184,-0.10314
84178,surf wax,surf wax,candle,candle,1.12744,1.00655,1.02519,0.91647,1.04408,1.02395,0.16189
84178,a wheel,wheel,baseball,baseball,0.92716,0.97969,0.91823,1.02315,0.96769,0.96318,0.05009
84178,bag,bag,sock,sock,0.6444,0.87987,0.64333,0.67558,0.71673,0.71198,-0.22009
84178,coin purse,coin purse,sock,sock,0.92164,1.03443,1.07919,0.98632,0.9804,1.0004,0.11531
84178,snack holder,snack holder,sock,sock,1.05355,1.01206,1.0371,1.06731,0.91166,1.01634,0.13374
84178,hat,hat,sock,sock,0.64285,0.74545,0.72479,0.85645,0.71528,0.73696,-0.20859
84178,back scratcher,back scratcher,comb,comb,1.01856,1.03906,1.02119,0.97441,1.0127,1.01318,0.1315
84178,back scratcher,back scratcher,fork,fork,0.98191,1.06999,1.03294,1.0073,1.01734,1.0219,0.1333
84178,hair brush,hair brush,fork,fork,0.96609,1.02437,1.04995,0.94638,1.01457,1.00027,0.11976
84178,weapon,weapon,fork,fork,0.77246,0.88417,0.90561,1.03711,0.95158,0.91019,-0.02609
84178,weapon,weapon,brick,brick,0.85011,0.96659,0.9662,1.03924,0.96281,0.95699,0.03946
84178,doorstop,doorstop,brick,brick,0.78403,0.83825,0.76155,0.88561,0.89534,0.83296,-0.10119
84178,lifting weights,lifting weights,brick,brick,1.1174,0.95891,0.99262,0.95708,1.09244,1.02369,0.1473
84178,bag,bag,hat,hat,0.62995,0.81719,0.75402,0.59157,0.61723,0.68199,-0.22046
84178,carrying case,carrying case,hat,hat,1.02573,1.02461,1.02648,0.98922,1.1576,1.04473,0.15551
84178,bucket,bucket,hat,hat,0.7075,0.87591,0.74689,0.90803,0.67851,0.78337,-0.15424
84178,doorstop,doorstop,lamp,lamp,0.83121,0.82575,0.75946,1.08368,0.86394,0.87281,-0.08039
84178,weapon,weapon,belt,belt,0.7537,0.84987,0.84457,0.91435,0.73289,0.81908,-0.10223
84178,hair tie,hair tie,belt,belt,1.0639,0.99843,1.04088,1.05092,1.04051,1.03893,0.15385
84178,wheel,wheel,clock,clock,0.78946,0.908,0.8231,0.98761,0.69701,0.84104,-0.08612
84178,rolling pin,rolling pin,clock,clock,1.08604,0.99655,1.03592,0.978,1.04871,1.02904,0.15507
84178,a plate,plate,clock,clock,0.85421,0.87313,0.89926,0.95873,0.80009,0.87708,-0.03255
84178,floor mat,floor mat,pillow,pillow,1.02488,0.8451,0.90169,1.06063,0.97459,0.96138,0.05091
84178,pole,pole,broom,broom,0.75212,0.83518,0.88052,1.04596,0.86853,0.87646,-0.06376
84178,hit things,hit things,broom,broom,1.01093,1.041,1.08381,0.9643,1.05914,1.03184,0.15755
84178,hat,hat,bucket,bucket,0.7075,0.87591,0.74689,0.90803,0.67851,0.78337,-0.15424
84178,a purse,purse,bucket,bucket,0.73833,0.8995,0.7944,1.05353,0.77389,0.85193,-0.09825
84178,hat,hat,purse,purse,0.66334,0.77493,0.81603,0.77643,0.78344,0.76283,-0.15919
84178,bucket,bucket,purse,purse,0.73833,0.8995,0.7944,1.05353,0.77389,0.85193,-0.09825
84178,tooth pick,tooth pick,knife,knife,1.0124,0.97763,1.00061,1.07865,1.05052,1.02396,0.1222
84178,ice pick,ice pick,knife,knife,0.94773,1.08237,1.04136,0.95046,1.09559,1.0235,0.13572
84188,you can use it as a smelling guide for blind people,can use smelling guide blind people,candle,candle,0.96829,0.96972,0.94754,1.01914,1.12354,1.00565,0.09474
84188,use it as an odifier not a deodifier,use odifier deodifier,candle,candle,0.81753,0.97901,0.89566,1.0068,0.92889,0.92558,-3.20E-04
84188,clock,clock,candle,candle,0.86024,0.96797,0.82881,0.90031,0.77931,0.86733,-0.0421
84188,use it to make music from the bristle thickness,use make music bristle thickness,comb,comb,0.97942,0.96616,0.94811,0.90486,1.09411,0.97853,0.08542
84188,weird frisbee,weird frisbee,comb,comb,1.03401,1.00415,0.9453,0.91136,0.96808,0.97258,0.09157
84188,fake banjo,fake banjo,comb,comb,0.97778,1.08186,1.0253,1.0016,0.98549,1.01441,0.12663
84188,microphone,microphone,comb,comb,0.85779,0.94744,0.87868,1.03139,0.91814,0.92669,1.40E-04
84188,footwear,footwear,hat,hat,0.8009,0.76103,0.85495,0.86794,0.80698,0.81836,-0.09428
84188,a prop for picking up women at the bar,prop picking women bar,hat,hat,1.05397,0.87235,1.02155,0.90434,1.11631,0.9937,0.11841
84188,begging for money you dont need,begging money dont need,hat,hat,1.10543,1.01491,0.94426,1.01078,1.06654,1.02838,0.13834
84188,fish bowl,fish bowl,hat,hat,0.98915,0.93526,1.01999,1.06511,1.015,1.0049,0.10611
84188,use it to burn crickets,use burn crickets,lighter,lighter,0.86665,0.85985,0.94796,1.02849,0.9382,0.92823,0.01128
84188,modified explosive,modified explosive,lighter,lighter,1.08601,1.07001,0.97805,0.89181,1.13653,1.03248,0.15789
84188,dildo,dildo,lighter,lighter,0.81647,0.8224,0.87883,NA,1.03073,0.88711,-0.02939
84188,use it as a footrest,use footrest,pillow,pillow,1.06309,1.05585,1.13785,0.99354,0.98321,1.04671,0.18689
84188,use the pillowcase as an emergency toilet,use pillowcase emergency toilet,pillow,pillow,0.97949,1.01459,1.01836,0.93523,1.00411,0.99036,0.10868
84188,glove,glove,pillow,pillow,0.7119,0.83905,0.78963,1.06326,0.76902,0.83457,-0.12138
84188,use it as for tuning an instrument,use tuning instrument,fork,fork,0.93755,0.88745,0.92284,1.04342,0.9262,0.94349,0.03055
84188,use it as a microphone,use microphone,fork,fork,0.9113,1.02385,1.02403,0.97179,1.01815,0.98982,0.09523
84188,use it as a rudder,use rudder,fork,fork,0.99176,1.12456,1.03299,0.90914,0.94634,1.00096,0.1306
84188,use it to play fake quittich,use play fake quittich,broom,broom,0.89304,0.92976,1.08821,0.89643,0.95022,0.95153,0.07614
84188,fake pony,fake pony,broom,broom,0.84765,1.11707,0.98894,0.88423,1.08634,0.98485,0.08656
84188,use it to beat your children with,use beat children,broom,broom,0.93399,1.13001,0.97834,0.99164,0.93653,0.9941,0.09831
84188,use it as a steering devicfe,use steering devicfe,broom,broom,0.89409,1.02971,1.03438,0.96355,1.04663,0.99367,0.09826
84188,use the holes to measure distance,use holes measure distance,belt,belt,1.08669,0.98671,1.03756,0.94949,1.24612,1.06131,0.18163
84188,use it to hang yourself,use hang,belt,belt,0.93963,1.01286,0.93965,0.95079,1.22279,1.01314,0.1022
84188,use it to bring someone in for a big hug,use bring someone big hug,belt,belt,0.88005,0.89642,0.95436,1.06241,0.81858,0.92236,0.00988
84188,use it  a a mask when you're robbing a bank,use mask robbing bank,sock,sock,1.03459,1.05832,1.04239,0.96018,0.9999,1.01908,0.14523
84188,use it as underwear,use underwear,sock,sock,1.05107,1.07642,0.9656,0.99243,0.92899,1.0029,0.11922
84188,use it to fish,use fish,sock,sock,0.99353,1.0326,0.9388,1.11075,0.97712,1.01056,0.09744
84188,use it to make a sick beat dawg,use make sick beat dawg,pencil,pencil,0.95085,0.94557,0.96476,0.9211,1.05128,0.96671,0.07225
84188,use it as a dart,use dart,pencil,pencil,0.962,1.07327,1.03321,1.07703,0.9621,1.02152,0.12413
84188,use it for a stick up,use stick,pencil,pencil,0.85018,1.08134,1.09296,1.06668,1.08325,1.03488,0.12809
84188,use it to carry around your least valuable items,use carry around least valuable items,purse,purse,1.14974,1.15778,1.01517,0.99949,1.0689,1.07822,0.2073
84188,crossdressing,crossdressing,purse,purse,0.8386,NA,0.87458,NA,0.98851,0.90056,-0.01306
84188,use it to brush your teeth,use brush teeth,purse,purse,0.81679,1.00612,1.03738,0.92167,0.87753,0.9319,0.04084
84188,use it as a mit,use mit,baseball,baseball,1.09447,1.04336,1.04837,0.94441,1.13279,1.05268,0.18248
84188,use it as a steering wheel,use steering wheel,baseball,baseball,0.89539,0.88068,1.10191,1.00414,0.84985,0.94639,0.06349
84188,use it to press buttons at the gas station,use press buttons gas station,baseball,baseball,0.94022,0.95426,1.01017,0.95072,0.73575,0.91822,0.04079
84188,change the time and trick your friends,change time trick friends,clock,clock,1.04883,1.03688,1.07914,0.99475,1.33871,1.09966,0.21167
84188,use it as a frisbee,use frisbee,clock,clock,0.98285,1.05156,1.00472,1.06105,0.8757,0.99518,0.10217
84188,use it to manage your time hortibly,use manage time hortibly,clock,clock,0.79264,1.05808,0.98839,0.98976,0.65718,0.89721,-0.00155
84188,enter it in a race,enter race,brick,brick,0.95863,1.02626,0.95,1.07668,1.16131,1.03458,0.1142
84188,brick throwing competition,brick throwing competition,brick,brick,0.73623,0.94703,0.87011,1.06032,0.82466,0.88767,-0.05434
84188,use it as a dumbell,use dumbell,brick,brick,1.02512,0.92783,1.07705,1.01155,0.86009,0.98033,0.10887
84188,use it in a kinky way,use kinky way,knife,knife,0.7875,0.9809,0.99638,1.03957,1.21443,1.00376,0.07084
84188,use it as a way to threaten cars as you escort grandma across the road,use way threaten cars escort grandma across road,knife,knife,1.00159,1.00795,1.02127,1.06751,1.20078,1.05982,0.1543
84188,use the lamp shield as toilet paper,use lamp shield toilet paper,lamp,lamp,0.97566,0.88371,0.9706,1.07086,0.8229,0.94475,0.04495
84188,sword fight,sword fight,lamp,lamp,1.00994,0.91238,0.99646,0.98616,1.03295,0.98758,0.09703
84188,use it to not see,use see,lamp,lamp,1.04266,0.91208,1.05883,0.91949,1.17222,1.02106,0.14567
84188,keep it off,keep,lamp,lamp,0.77155,0.99044,0.94023,1.01146,0.88552,0.91984,-0.00348
84188,use itto remember your bucket list,use itto remember bucket list,bucket,bucket,0.88104,1.0087,0.91723,0.73886,1.14905,0.93898,0.04878
84188,use it as a helmet,use helmet,bucket,bucket,0.92222,1.08672,0.9167,1.07124,1.12442,1.02426,0.09777
84188,eat food out of it,eat food,bucket,bucket,1.10223,1.12491,0.96824,0.99438,1.11597,1.06115,0.17539
84193,lunch box,lunch box,purse,purse,1.01556,1.01094,1.01922,1.08358,1.01398,1.02866,0.1316
84193,carry a dog,carry dog,purse,purse,1.0602,0.99312,0.92469,1.07447,1.04413,1.01932,0.11329
84193,weapon,weapon,purse,purse,0.73101,0.80493,0.88893,0.95845,0.84577,0.84582,-0.08358
84193,weapon,weapon,lamp,lamp,0.82154,0.91273,0.88538,1.03357,0.89323,0.90929,-0.02025
84193,decor,decor,lamp,lamp,0.78731,0.82766,0.80439,0.92981,0.74842,0.81952,-0.10665
84193,weapon,weapon,pencil,pencil,0.79124,0.91829,0.88884,0.99391,0.88562,0.89558,-0.03155
84193,decor,decor,pencil,pencil,1.04717,0.85386,0.96367,0.97808,0.90089,0.94873,0.06468
84193,toy,toy,baseball,baseball,0.81356,0.95234,0.86752,0.88538,0.82336,0.86843,-0.04142
84193,tool,tool,baseball,baseball,0.90192,0.9426,0.96954,0.96242,0.86999,0.92929,0.03291
84193,the leather can be upcycled,leather can upcycled,baseball,baseball,0.93645,0.95254,0.94836,1.06258,1.1825,1.01649,0.093
84193,stool,stool,bucket,bucket,0.65734,0.7667,0.71479,0.85528,0.6736,0.73354,-0.20924
84193,chair,chair,bucket,bucket,0.66555,0.81521,0.87698,0.93862,0.77695,0.81466,-0.11848
84193,seat,seat,pillow,pillow,0.68661,0.80825,0.79091,0.9138,0.85733,0.81138,-0.13265
84193,pillow fight,pillow fight,pillow,pillow,1.04888,0.7973,1.04969,1.05484,0.91085,0.97231,0.08991
84193,art material,art material,candle,candle,0.9503,1.00701,0.984,1.10268,1.05984,1.02077,0.10569
84193,weather proofing,weather proofing,candle,candle,1.01737,0.98255,0.96724,0.89922,0.94362,0.962,0.08469
84193,throwing,throwing,brick,brick,0.76731,0.81881,0.93459,1.01815,0.84864,0.8775,-0.04846
84193,stool,stool,brick,brick,0.81612,0.77783,0.90362,0.97448,0.9178,0.87797,-0.04474
84193,keep your computer awake,keep computer awake,clock,clock,0.93948,0.96719,0.95611,1.10206,0.66204,0.92538,0.02383
84193,decor,decor,clock,clock,0.9291,0.93443,0.83918,0.98595,0.92847,0.92343,0.0051
84193,puppet,puppet,sock,sock,0.68722,0.70923,0.781,0.8895,0.61075,0.73554,-0.19593
84193,doggie shoes,doggie shoes,sock,sock,1.0116,0.90807,0.95141,0.93895,0.95985,0.95398,0.06666
84193,witch costume,witch costume,broom,broom,0.95262,0.93385,0.95104,1.04157,0.95005,0.96583,0.05858
84193,quidditch,quidditch,broom,broom,0.77761,0.80829,0.84029,NA,0.87999,0.82654,-0.08328
84193,purse,purse,hat,hat,0.66334,0.77493,0.81603,0.77643,0.78344,0.76283,-0.15919
84193,bucket,bucket,hat,hat,0.7075,0.87591,0.74689,0.90803,0.67851,0.78337,-0.15424
84193,draw names,draw names,hat,hat,0.93825,1.04418,0.96802,1.15505,1.19759,1.06062,0.12859
84193,weapon,weapon,knife,knife,0.52292,0.63629,0.61982,0.7188,0.55026,0.60962,-0.34154
84193,art supplies,art supplies,knife,knife,1.09762,0.99325,1.00563,0.95446,1.19669,1.04953,0.16833
84193,handcuffs,handcuffs,belt,belt,0.6641,0.74268,0.79525,0.90143,0.84345,0.78938,-0.15532
84193,weapon,weapon,fork,fork,0.77246,0.88417,0.90561,1.03711,0.95158,0.91019,-0.02609
84193,shovel,shovel,fork,fork,0.6258,0.80118,0.64727,0.94839,0.7068,0.74589,-0.22412
84193,small pitchfork,small pitchfork,fork,fork,1.02803,1.01972,1.00499,0.98424,0.98198,1.00379,0.12085
84206,sharp,sharp,knife,knife,0.5531,0.63086,0.69891,0.6826,0.58622,0.63034,-0.30251
84206,deadly,deadly,knife,knife,0.77152,0.83017,0.83534,0.87709,0.7649,0.8158,-0.10161
84206,scary,scary,knife,knife,0.70526,0.84358,0.91207,1.07586,0.86852,0.88106,-0.06407
84206,murderer,murderer,knife,knife,0.60348,0.76537,0.72772,0.85191,0.72391,0.73448,-0.21506
84206,cut,cut,knife,knife,0.57773,0.69928,0.71558,0.38785,0.62316,0.60072,-0.28899
84206,big,big,purse,purse,0.80805,0.94726,0.94594,0.99342,0.81638,0.90221,-0.0106
84206,cluttery,cluttery,purse,purse,NA,NA,NA,NA,NA,NaN,NA
84206,miscellaneous,miscellaneous,purse,purse,0.91342,0.88924,0.97113,0.98347,0.92576,0.9366,0.03571
84206,old,old,purse,purse,0.88148,1.0227,0.92846,0.92452,0.9525,0.94193,0.03893
84206,hot,hot,candle,candle,0.79156,0.83442,0.89497,0.97438,0.80321,0.85971,-0.06097
84206,calming,calming,candle,candle,0.86882,0.8917,0.83284,1.06553,0.97836,0.92745,-0.01264
84206,soothing,soothing,candle,candle,0.76045,0.88756,0.81954,0.99216,0.83882,0.85971,-0.07933
84206,expensive,expensive,candle,candle,0.88009,0.91423,0.92691,1.03101,0.96208,0.94286,0.02366
84206,messy,messy,candle,candle,0.9096,1.05038,0.89282,0.95517,0.98098,0.95779,0.04794
84206,variety,variety,candle,candle,0.96316,0.98053,0.95474,1.0202,1.01948,0.98762,0.08223
84206,wet,wet,bucket,bucket,0.66584,0.78012,0.75621,0.85006,0.73544,0.75753,-0.18025
84206,dirty,dirty,bucket,bucket,0.64347,0.83311,0.73578,0.90768,0.70723,0.76545,-0.18358
84206,heavy,heavy,bucket,bucket,0.78419,0.9126,0.83025,0.85116,0.78412,0.83246,-0.08063
84206,rusty,rusty,bucket,bucket,0.62728,0.88166,0.75492,0.91527,0.76173,0.78817,-0.16306
84206,random,random,bucket,bucket,0.84678,0.9106,0.84549,1.02599,0.93457,0.91269,-0.02069
84206,scary,scary,broom,broom,0.73894,0.94473,0.93486,0.92819,0.91487,0.89232,-0.02694
84206,seasonal,seasonal,broom,broom,0.91129,0.95518,0.91748,0.85711,0.9822,0.92465,0.0302
84206,pointy,pointy,broom,broom,0.74186,0.71751,0.81548,0.99157,0.82744,0.81877,-0.1247
84206,man,man,belt,belt,0.73646,0.92578,0.85363,1.00749,0.804,0.86547,-0.0713
84206,profesional,profesional,belt,belt,0.978,NA,1.01866,0.90013,1.13606,1.00821,0.1238
84206,kinky,kinky,belt,belt,0.79837,0.92844,1.00636,0.98579,1.06013,0.95582,0.03961
84206,pointy,pointy,fork,fork,0.82428,0.83339,0.80164,1.07749,0.88538,0.88444,-0.06352
84206,odd,odd,fork,fork,0.82963,0.97308,0.90239,0.93702,0.94316,0.91706,0.002
84206,metal,metal,fork,fork,0.81194,0.80001,0.8943,0.87769,0.87944,0.85268,-0.0571
84206,useful,useful,fork,fork,0.82565,0.86434,0.93527,0.98107,0.97274,0.91581,-0.00348
84206,pretty,pretty,comb,comb,0.78031,1.0045,0.90668,0.93338,0.94385,0.91374,-0.00591
84206,hevy,hevy,baseball,baseball,NA,0.85998,NA,1.03247,1.07398,0.98881,0.04492
84206,smooth,smooth,baseball,baseball,0.90571,0.95039,0.94809,0.97917,0.93743,0.94416,0.03969
84206,child,child,baseball,baseball,0.82603,0.94663,0.91947,0.96957,0.86242,0.90482,-0.00881
84206,house,house,brick,brick,0.65988,0.82071,0.69071,0.85592,0.63317,0.73208,-0.21137
84206,building,building,brick,brick,0.60702,0.70089,0.54039,0.40187,0.40225,0.53048,-0.37253
84206,heavy,heavy,brick,brick,0.81117,0.88801,0.87982,0.94138,0.83909,0.87189,-0.04535
84206,red,red,brick,brick,0.71249,0.75512,0.83819,0.89504,0.71455,0.78308,-0.14204
84206,time,time,clock,clock,0.64911,0.76953,0.82558,0.81498,0.59082,0.73,-0.18808
84206,mysterious,mysterious,clock,clock,0.89039,0.98648,0.9729,0.98753,0.91302,0.95006,0.04794
84206,constant,constant,clock,clock,0.89307,0.96035,0.8667,0.96479,0.6605,0.86908,-0.03344
84206,mysterious,mysterious,hat,hat,0.88483,0.89536,0.90517,1.06036,0.91971,0.93309,0.00924
84206,colorful,colorful,hat,hat,0.81193,0.79418,0.90376,0.98424,0.70839,0.8405,-0.07355
84206,sporty,sporty,hat,hat,0.89748,0.78572,0.89475,0.95925,0.93474,0.89439,-0.01835
84206,light,light,lamp,lamp,0.45035,0.57998,0.5627,0.45727,0.58453,0.52697,-0.40974
84206,bright,bright,lamp,lamp,0.6663,0.79294,0.77177,0.87832,0.69462,0.76079,-0.17618
